Loan_ID,Customer_ID,Loan_Type,Loan_Amount,EMI_Amount,Start_Date,Tenure_Months,City,Region,Income_Band,Credit_Score,Customer_Segment,Agent_ID,Report_Month,Outstanding_Amount,Days_Past_Due,Missed_EMIs,Contact_Response,Recovery_Status,Amount_Recovered,Priority_Score,Risk_Level
LN20000,CUST10000,Credit Card,300430,25035.83,2023-04-10,12,Mumbai,East,Medium,674,Mass,AGT171,3/1/2026,34050.04,0,0,No Answer,Paid,34050.04,64.05004,Medium Risk
LN20001,CUST10001,Credit Card,27237,2269.75,2023-04-14,12,Mumbai,South,Medium,682,Affluent,AGT111,3/1/2026,6613.2,30,2,No Answer,Partial,3306.6,116.6132,Medium Risk
LN20002,CUST10002,Credit Card,230581,19215.08,2024-06-10,12,Mumbai,East,Medium,655,Mass,AGT118,3/1/2026,27279.36,0,0,No Answer,Paid,27279.36,57.27936,Medium Risk
LN20003,CUST10003,Credit Card,23901,1991.75,2024-01-24,12,Mumbai,South,High,789,Affluent,AGT120,3/1/2026,7205.4,90,4,No Answer,Partial,2161.62,257.2054,High Risk
LN20004,CUST10004,Credit Card,220493,18374.42,2024-10-09,12,Mumbai,West,Medium,677,Mass,AGT129,3/1/2026,40584.89,30,2,No Answer,Partial,12175.47,150.58489,Low Risk
LN20005,CUST10005,Credit Card,139445,7746.94,2024-03-07,18,Mumbai,South,Medium,680,Affluent,AGT144,3/1/2026,22592.8,30,2,No Answer,Unpaid,0.0,132.5928,Low Risk
LN20006,CUST10006,Credit Card,162349,13529.08,2024-06-15,12,Mumbai,East,Low,674,Mass,AGT103,3/1/2026,40578.04,30,2,No Answer,Unpaid,0.0,150.57804,Low Risk
LN20007,CUST10007,Credit Card,128850,7158.33,2024-09-27,18,Mumbai,North,Low,673,Affluent,AGT129,3/1/2026,20752.27,30,2,No Answer,Paid,20752.27,130.75227,Low Risk
LN20008,CUST10008,Credit Card,68170,5680.83,2024-10-05,12,Mumbai,South,Low,609,Mass,AGT161,3/1/2026,5090.41,0,0,No Answer,Paid,5090.41,35.09041,Medium Risk
LN20009,CUST10009,Credit Card,94302,7858.5,2023-12-11,12,Mumbai,East,Low,581,Mass,AGT148,3/1/2026,10510.45,15,1,No Answer,Paid,10510.45,80.51044999999999,Medium Risk
LN20010,CUST10010,Credit Card,15441,1286.75,2024-10-27,12,Mumbai,South,High,722,Affluent,AGT113,3/1/2026,4867.32,90,4,No Answer,Paid,4867.32,254.86732,High Risk
LN20011,CUST10011,Credit Card,71334,5944.5,2023-07-20,12,Mumbai,West,Low,650,Mass,AGT161,3/1/2026,4969.79,0,0,No Answer,Paid,4969.79,34.96979,Medium Risk
LN20012,CUST10012,Credit Card,66368,11061.33,2024-08-25,6,Mumbai,East,Medium,720,Mass,AGT169,3/1/2026,10525.56,0,0,No Answer,Paid,10525.56,40.52556,Medium Risk
LN20013,CUST10013,Credit Card,268854,5601.12,2024-03-03,48,Mumbai,East,Low,674,Affluent,AGT116,3/1/2026,5736.83,0,0,No Answer,Paid,5736.83,35.73683,Medium Risk
LN20014,CUST10014,Credit Card,283884,11828.5,2024-03-19,24,Mumbai,North,Medium,746,Affluent,AGT100,3/1/2026,60601.77,90,4,No Answer,Unpaid,0.0,310.60177,High Risk
LN20015,CUST10015,Credit Card,61378,3409.89,2023-11-10,18,Mumbai,South,Low,584,Mass,AGT148,3/1/2026,4113.77,0,0,No Answer,Paid,4113.77,34.11377,Medium Risk
LN20016,CUST10016,Credit Card,150578,3137.04,2024-12-01,48,Mumbai,North,Low,624,Affluent,AGT124,3/1/2026,8077.35,30,2,No Answer,Paid,8077.35,118.07735,Medium Risk
