Loan_ID,Agent_ID,Report_Month,Outstanding_Amount,Days_Past_Due,Missed_EMIs,Contact_Response,Recovery_Status,Amount_Recovered
LN20000,AGT171,2026-03-01,34050.04,0,0,No Answer,Paid,34050.04
LN20001,AGT111,2026-03-01,6613.2,30,2,No Answer,Partial,3306.6
LN20002,AGT118,2026-03-01,27279.36,0,0,No Answer,Paid,27279.36
LN20003,AGT120,2026-03-01,7205.4,90,4,No Answer,Partial,2161.62
LN20004,AGT129,2026-03-01,40584.89,30,2,No Answer,Partial,12175.47
LN20005,AGT144,2026-03-01,22592.8,30,2,No Answer,Unpaid,0.0
LN20006,AGT103,2026-03-01,40578.04,30,2,No Answer,Unpaid,0.0
LN20007,AGT129,2026-03-01,20752.27,30,2,No Answer,Paid,20752.27
LN20008,AGT161,2026-03-01,5090.41,0,0,No Answer,Paid,5090.41
LN20009,AGT148,2026-03-01,10510.45,15,1,No Answer,Paid,10510.45
LN20010,AGT113,2026-03-01,4867.32,90,4,No Answer,Paid,4867.32
LN20011,AGT161,2026-03-01,4969.79,0,0,No Answer,Paid,4969.79
LN20012,AGT169,2026-03-01,10525.56,0,0,No Answer,Paid,10525.56
LN20013,AGT116,2026-03-01,5736.83,0,0,No Answer,Paid,5736.83
LN20014,AGT100,2026-03-01,60601.77,90,4,No Answer,Unpaid,0.0
LN20015,AGT148,2026-03-01,4113.77,0,0,No Answer,Paid,4113.77
LN20016,AGT124,2026-03-01,8077.35,30,2,No Answer,Paid,8077.35
LN20017,AGT173,2026-03-01,32586.78,60,3,No Answer,Unpaid,0.0
LN20018,AGT104,2026-03-01,5498.07,15,1,No Answer,Partial,2749.03
LN20019,AGT146,2026-03-01,172286.02,90,4,No Answer,Partial,51685.81
LN20020,AGT140,2026-03-01,13621.05,0,0,No Answer,Paid,13621.05
LN20021,AGT172,2026-03-01,19757.12,0,0,Promise To Pay,Paid,0.0
LN20022,AGT150,2026-03-01,20933.3,15,1,No Answer,Unpaid,0.0
LN20023,AGT164,2026-03-01,67123.49,90,4,Responsive,Partial,0.0
LN20024,AGT113,2026-03-01,8001.28,0,0,No Answer,Paid,0.0
LN20025,AGT112,2026-03-01,31609.82,90,4,Promise To Pay,Partial,0.0
LN20026,AGT145,2026-03-01,7718.64,0,0,No Answer,Paid,0.0
LN20027,AGT154,2026-03-01,18077.4,60,3,Promise To Pay,Partial,0.0
LN20028,AGT121,2026-03-01,21942.72,60,3,Responsive,Partial,0.0
LN20029,AGT110,2026-03-01,9265.45,0,0,Promise To Pay,Paid,0.0
LN20030,AGT122,2026-03-01,12053.03,15,1,Responsive,Paid,0.0
LN20031,AGT157,2026-03-01,14368.04,0,0,Responsive,Paid,0.0
LN20032,AGT166,2026-03-01,50610.78,60,3,No Answer,Unpaid,0.0
LN20033,AGT141,2026-03-01,18507.22,0,0,Promise To Pay,Paid,0.0
LN20034,AGT147,2026-03-01,9579.36,0,0,No Answer,Paid,0.0
LN20035,AGT140,2026-03-01,37526.77,60,3,No Answer,Unpaid,0.0
LN20036,AGT142,2026-03-01,51043.87,60,3,No Answer,Unpaid,0.0
LN20037,AGT108,2026-03-01,44656.64,60,3,Promise To Pay,Partial,13396.99
LN20038,AGT115,2026-03-01,14694.72,0,0,Responsive,Paid,14694.72
LN20039,AGT115,2026-03-01,9814.25,0,0,No Answer,Paid,9814.25
LN20040,AGT166,2026-03-01,3613.58,0,0,No Answer,Paid,3613.58
LN20041,AGT162,2026-03-01,14151.99,0,0,No Answer,Paid,14151.99
LN20042,AGT141,2026-03-01,1367.57,0,0,No Answer,Paid,1367.57
LN20043,AGT149,2026-03-01,3394.69,15,1,Responsive,Partial,1697.35
LN20044,AGT143,2026-03-01,11217.86,30,2,No Answer,Unpaid,0.0
LN20045,AGT146,2026-03-01,5482.09,15,1,Responsive,Paid,5482.09
LN20046,AGT117,2026-03-01,32060.5,0,0,No Answer,Paid,32060.5
LN20047,AGT151,2026-03-01,6200.13,15,1,Responsive,Partial,3100.07
LN20048,AGT111,2026-03-01,13289.72,30,2,Promise To Pay,Partial,3986.92
LN20049,AGT171,2026-03-01,11814.59,0,0,No Answer,Paid,11814.59
LN20050,AGT123,2026-03-01,3708.89,30,2,No Answer,Unpaid,0.0
LN20051,AGT172,2026-03-01,21298.48,0,0,No Answer,Paid,21298.48
LN20052,AGT145,2026-03-01,11805.2,15,1,No Answer,Unpaid,0.0
LN20053,AGT143,2026-03-01,9510.46,15,1,Promise To Pay,Partial,2853.14
LN20054,AGT117,2026-03-01,4758.37,15,1,No Answer,Unpaid,0.0
LN20055,AGT104,2026-03-01,30290.73,30,2,Responsive,Paid,30290.73
LN20056,AGT163,2026-03-01,6179.71,0,0,Responsive,Paid,6179.71
LN20057,AGT138,2026-03-01,12605.75,0,0,Responsive,Paid,12605.75
LN20058,AGT174,2026-03-01,11931.45,15,1,No Answer,Unpaid,0.0
LN20059,AGT106,2026-03-01,7179.15,0,0,Promise To Pay,Paid,7179.15
