,Customer_ID,City,Region,Income_Band,Credit_Score,Customer_Segment
0,CUST10000,Mumbai,East,Medium,674.0,Mass
1,CUST10001,Mumbai,South,Medium,682.0,Affluent
2,CUST10002,Mumbai,East,Medium,655.0,Mass
3,CUST10003,Mumbai,South,High,789.0,Affluent
4,CUST10004,Mumbai,West,Medium,677.0,Mass
5,CUST10005,Mumbai,South,Medium,680.0,Affluent
6,CUST10006,Mumbai,East,Low,674.0,Mass
7,CUST10007,Mumbai,North,Low,673.0,Affluent
8,CUST10008,Mumbai,South,Low,609.0,Mass
9,CUST10009,Mumbai,East,Low,581.0,Mass
10,CUST10010,Mumbai,South,High,722.0,Affluent
11,CUST10011,Mumbai,West,Low,650.0,Mass
12,CUST10012,Mumbai,East,Medium,720.0,Mass
13,CUST10013,Mumbai,East,Low,674.0,Affluent
14,CUST10014,Mumbai,North,Medium,746.0,Affluent
15,CUST10015,Mumbai,South,Low,584.0,Mass
16,CUST10016,Mumbai,North,Low,624.0,Affluent
17,CUST10017,Mumbai,South,Low,692.0,Mass
18,CUST10018,Mumbai,West,Medium,703.0,Mass
19,CUST10019,Mumbai,East,Medium,683.0,Mass
20,CUST10020,Mumbai,East,Medium,722.0,Mass
21,CUST10021,Mumbai,West,Low,643.0,Mass
22,CUST10022,Mumbai,West,Medium,734.0,Mass
23,CUST10023,Mumbai,South,High,830.0,Mass
24,CUST10024,Mumbai,South,Medium,663.0,Premium
25,CUST10025,Mumbai,North,Medium,700.0,Mass
26,CUST10026,Mumbai,South,Medium,730.0,Mass
27,CUST10027,Mumbai,North,Low,567.0,Affluent
28,CUST10028,Mumbai,North,Low,618.0,Mass
29,CUST10029,Mumbai,North,Medium,708.0,Affluent
30,CUST10030,Mumbai,East,Low,709.0,Mass
31,CUST10031,Mumbai,South,Low,651.0,Mass
32,CUST10032,Mumbai,West,Medium,738.0,Mass
33,CUST10033,Mumbai,North,Low,669.0,Affluent
34,CUST10034,Mumbai,North,Low,573.0,Affluent
35,CUST10035,Mumbai,West,Low,675.0,Affluent
36,CUST10036,Mumbai,West,Low,619.0,Premium
37,CUST10037,Mumbai,West,Medium,765.0,Affluent
38,CUST10038,Mumbai,South,Low,707.0,Affluent
39,CUST10039,Mumbai,West,Medium,667.0,Mass
40,CUST10040,Mumbai,East,Low,649.0,Affluent
41,CUST10041,Delhi NCR,South,Medium,709.0,Premium
42,CUST10042,Delhi NCR,East,Low,558.0,Affluent
43,CUST10043,Delhi NCR,West,Low,555.0,Affluent
44,CUST10044,Delhi NCR,South,Medium,752.0,Premium
45,CUST10045,Delhi NCR,East,High,744.0,Affluent
46,CUST10046,Delhi NCR,West,Medium,725.0,Affluent
47,CUST10047,Delhi NCR,West,Medium,730.0,Mass
48,CUST10048,Delhi NCR,South,Medium,704.0,Mass
49,CUST10049,Delhi NCR,West,Medium,691.0,Affluent
