Customer_ID,City,Region,Income_Band,Credit_Score,Customer_Segment
CUST10000,mumbai,East,Medium,674.0,Mass
CUST10001,mumbai,South,Medium,682.0,Affluent
CUST10002,mumbai,East,Medium,655.0,Mass
CUST10003,mumbai,South,High,789.0,Affluent
CUST10004,mumbai,West,Medium,677.0,Mass
CUST10005,mumbai,South,Medium,680.0,Affluent
CUST10006,mumbai,East,Low,674.0,Mass
CUST10007,mumbai,North,Low,673.0,Affluent
CUST10008,mumbai,South,Low,609.0,Mass
CUST10009,mumbai,East,Low,581.0,Mass
CUST10010,mumbai,South,High,722.0,Affluent
CUST10011,mumbai,West,Low,650.0,Mass
CUST10012,mumbai,East,Medium,720.0,Mass
CUST10013,mumbai,East,Low,674.0,Affluent
CUST10014,mumbai,North,Medium,746.0,Affluent
CUST10015,mumbai,South,Low,584.0,Mass
CUST10016,mumbai,North,Low,624.0,Affluent
CUST10017,mumbai,South,Low,692.0,Mass
CUST10018,mumbai,West,Medium,703.0,Mass
CUST10019,mumbai,East,Medium,683.0,Mass
CUST10020,mumbai,East,Medium,722.0,Mass
CUST10021,mumbai,West,Low,643.0,Mass
CUST10022,mumbai,West,Medium,734.0,Mass
CUST10023,mumbai,South,High,830.0,Mass
CUST10024,mumbai,South,Medium,663.0,Premium
CUST10025,mumbai,North,Medium,700.0,Mass
CUST10026,mumbai,South,Medium,730.0,Mass
CUST10027,mumbai,North,Low,567.0,Affluent
CUST10028,mumbai,North,Low,618.0,Mass
CUST10029,mumbai,North,Medium,708.0,Affluent
CUST10030,mumbai,East,Low,709.0,Mass
CUST10031,mumbai,South,Low,651.0,Mass
CUST10032,mumbai,West,Medium,738.0,Mass
CUST10033,mumbai,North,Low,669.0,Affluent
CUST10034,mumbai,North,Low,573.0,Affluent
CUST10035,mumbai,West,Low,675.0,Affluent
CUST10036,mumbai,West,Low,619.0,Premium
CUST10037,mumbai,West,Medium,765.0,Affluent
CUST10038,mumbai,South,Low,707.0,Affluent
CUST10039,mumbai,West,Medium,667.0,Mass
CUST10040,mumbai,East,Low,649.0,Affluent
CUST10041,DELHI NCR,South,Medium,709.0,Premium
CUST10042,DELHI NCR,East,Low,558.0,Affluent
CUST10043,DELHI NCR,West,Low,555.0,Affluent
CUST10044,DELHI NCR,South,Medium,752.0,Premium
CUST10045,DELHI NCR,East,High,744.0,Affluent
CUST10046,DELHI NCR,West,Medium,725.0,Affluent
CUST10047,DELHI NCR,West,Medium,730.0,Mass
CUST10048,DELHI NCR,South,Medium,704.0,Mass
CUST10049,DELHI NCR,West,Medium,691.0,Affluent
CUST10050,DELHI NCR,West,High,849.0,Mass
CUST10051,DELHI NCR,South,Medium,758.0,Affluent
CUST10052,DELHI NCR,East,Medium,779.0,Mass
CUST10053,DELHI NCR,South,Low,628.0,Mass
CUST10054,DELHI NCR,West,Low,634.0,Mass
CUST10055,DELHI NCR,South,High,827.0,Premium
CUST10056,DELHI NCR,South,High,757.0,Mass
CUST10057,DELHI NCR,South,Low,590.0,Mass
CUST10058,DELHI NCR,East,High,756.0,Mass
CUST10059,DELHI NCR,East,High,845.0,Mass
CUST10060,DELHI NCR,East,Medium,780.0,Affluent
CUST10061,DELHI NCR,South,High,736.0,Mass
CUST10062,DELHI NCR,East,High,794.0,Mass
CUST10063,DELHI NCR,West,Medium,735.0,Mass
CUST10064,DELHI NCR,South,Low,565.0,Affluent
CUST10065,DELHI NCR,West,Medium,756.0,Mass
CUST10066,DELHI NCR,North,Low,694.0,Mass
CUST10067,DELHI NCR,South,High,751.0,Mass
CUST10068,DELHI NCR,South,Medium,715.0,Affluent
CUST10069,DELHI NCR,East,Medium,719.0,Affluent
CUST10070,DELHI NCR,West,Low,619.0,Mass
CUST10071,DELHI NCR,West,Medium,661.0,Mass
CUST10072,DELHI NCR,North,Low,581.0,Affluent
CUST10073,DELHI NCR,West,Medium,660.0,Mass
CUST10074,DELHI NCR,South,Medium,690.0,Affluent
CUST10075,DELHI NCR,East,Medium,695.0,Affluent
CUST10076,DELHI NCR,West,Medium,734.0,Affluent
CUST10077,DELHI NCR,West,Medium,702.0,Mass
CUST10078,DELHI NCR,West,Low,674.0,Premium
CUST10079,DELHI NCR,East,High,815.0,Mass
CUST10080,DELHI NCR,West,Medium,772.0,Affluent
CUST10081,Pune,West,,711.0,Mass
CUST10082,Bangalore,South,,813.0,Mass
CUST10083,Kolkata,East,,782.0,Mass
CUST10084,Pune,West,,665.0,Mass
CUST10085,Pune,West,,586.0,Premium
CUST10086,Bangalore,South,,760.0,Mass
CUST10087,Pune,West,,802.0,Mass
CUST10088,Delhi NCR,North,,677.0,Mass
CUST10089,Hyderabad,South,,555.0,Mass
CUST10090,Bangalore,South,,639.0,Premium
CUST10091,Hyderabad,South,,795.0,Mass
CUST10092,Mumbai,West,,651.0,Mass
CUST10093,Hyderabad,South,,650.0,Mass
CUST10094,Hyderabad,South,,664.0,Mass
CUST10095,Kolkata,East,,839.0,Affluent
CUST10096,Mumbai,West,,733.0,Mass
CUST10097,Mumbai,West,,725.0,Affluent
CUST10098,Delhi NCR,North,,726.0,Mass
CUST10099,Pune,West,,711.0,Mass
CUST10100,Mumbai,West,,768.0,Affluent
CUST10101,Hyderabad,South,,662.0,Affluent
CUST10102,Mumbai,West,,613.0,Mass
CUST10103,Mumbai,West,,609.0,Premium
CUST10104,Kolkata,East,,657.0,Mass
CUST10105,Bangalore,South,,827.0,Mass
CUST10106,Mumbai,West,,839.0,Mass
CUST10107,Kolkata,East,,602.0,Affluent
CUST10108,Hyderabad,South,,677.0,Mass
CUST10109,Bangalore,South,,658.0,Affluent
CUST10110,Pune,West,,736.0,Mass
CUST10111,Delhi NCR,North,,670.0,Affluent
CUST10112,Delhi NCR,North,,564.0,Mass
CUST10113,Pune,West,,753.0,Mass
CUST10114,Bangalore,South,,609.0,Mass
CUST10115,Pune,West,,679.0,Mass
CUST10116,Pune,West,,791.0,Premium
CUST10117,Delhi NCR,North,,678.0,Affluent
CUST10118,Pune,West,,653.0,Mass
CUST10119,Bangalore,South,,658.0,Mass
CUST10120,Bangalore,South,,707.0,Mass
CUST10121,Hyderabad,South,,748.0,Mass
CUST10122,Bangalore,South,,584.0,Affluent
CUST10123,Hyderabad,South,,662.0,Mass
CUST10124,Mumbai,West,,813.0,Mass
CUST10125,Hyderabad,South,,590.0,Premium
CUST10126,Kolkata,East,,822.0,Mass
CUST10127,Kolkata,East,,724.0,Affluent
CUST10128,Mumbai,West,,700.0,Mass
CUST10129,Kolkata,East,,831.0,Premium
CUST10130,Pune,West,,693.0,Premium
CUST10131,Hyderabad,South,Medium,,Affluent
CUST10132,Bangalore,South,Medium,,Mass
CUST10133,Bangalore,South,Medium,,Mass
CUST10134,Hyderabad,South,High,,Premium
CUST10135,Pune,West,High,,Mass
CUST10136,Hyderabad,South,High,,Mass
CUST10137,Delhi NCR,North,Low,,Premium
CUST10138,Delhi NCR,North,Low,,Affluent
CUST10139,Kolkata,East,Medium,,Affluent
CUST10140,Hyderabad,South,Medium,,Mass
CUST10141,Hyderabad,South,Medium,,Mass
CUST10142,Mumbai,West,Low,,Premium
CUST10143,Bangalore,South,Low,,Affluent
CUST10144,Pune,West,Medium,,Premium
CUST10145,Mumbai,West,Medium,,Mass
CUST10146,Mumbai,West,Low,,Affluent
CUST10147,Kolkata,East,Medium,,Mass
CUST10148,Mumbai,West,Medium,,Mass
CUST10149,Delhi NCR,North,Medium,,Affluent
CUST10150,Kolkata,East,Medium,,Premium
CUST10151,Delhi NCR,North,High,,Mass
