Loan_ID,Customer_ID,Loan_Type,Loan_Amount,EMI_Amount,Start_Date,Tenure_Months
LN20000,CUST10000,credit card,300430,25035.83,2023-04-10,12
LN20001,CUST10001,credit card,27237,2269.75,2023-04-14,12
LN20002,CUST10002,credit card,230581,19215.08,2024-06-10,12
LN20003,CUST10003,credit card,23901,1991.75,2024-01-24,12
LN20004,CUST10004,credit card,220493,18374.42,2024-10-09,12
LN20005,CUST10005,credit card,139445,7746.94,2024-03-07,18
LN20006,CUST10006,credit card,162349,13529.08,2024-06-15,12
LN20007,CUST10007,credit card,128850,7158.33,2024-09-27,18
LN20008,CUST10008,credit card,68170,5680.83,2024-10-05,12
LN20009,CUST10009,credit card,94302,7858.5,2023-12-11,12
LN20010,CUST10010,credit card,15441,1286.75,2024-10-27,12
LN20011,CUST10011,credit card,71334,5944.5,2023-07-20,12
LN20012,CUST10012,credit card,66368,11061.33,2024-08-25,6
LN20013,CUST10013,credit card,268854,5601.12,2024-03-03,48
LN20014,CUST10014,credit card,283884,11828.5,2024-03-19,24
LN20015,CUST10015,credit card,61378,3409.89,2023-11-10,18
LN20016,CUST10016,credit card,150578,3137.04,2024-12-01,48
LN20017,CUST10017,credit card,159533,8862.94,2024-11-12,18
LN20018,CUST10018,credit card,72132,6011.0,2024-02-20,12
LN20019,CUST10019,credit card,177260,29543.33,2024-02-23,6
LN20020,CUST10020,credit card,284142,11839.25,2024-11-23,24
LN20021,CUST10021,Personal Loan,339824,,2024-11-30,24
LN20022,CUST10022,Personal Loan,133529,,2024-09-27,12
LN20023,CUST10023,Credit Card,137608,,2023-03-07,12
LN20024,CUST10024,Credit Card,102551,,2023-05-15,12
LN20025,CUST10025,Credit Card,69747,,2023-05-14,12
LN20026,CUST10026,Consumer Durable,124338,,2024-09-18,6
LN20027,CUST10027,Credit Card,30724,,2023-03-22,12
LN20028,CUST10028,Consumer Durable,52456,,2024-03-19,6
LN20029,CUST10029,Personal Loan,182333,,2023-10-21,24
LN20030,CUST10030,Credit Card,49767,,2024-05-10,12
LN20031,CUST10031,Personal Loan,441908,,2023-06-08,48
LN20032,CUST10032,Consumer Durable,83898,,2023-09-09,18
LN20033,CUST10033,Consumer Durable,79430,,2023-12-19,12
LN20034,CUST10034,Personal Loan,163236,,2024-09-05,24
LN20035,CUST10035,Personal Loan,402993,,2024-09-03,24
LN20036,CUST10036,Credit Card,106264,,2024-11-22,12
LN20037,CUST10037,Personal Loan,208274,,2023-07-08,48
LN20038,CUST10038,Personal Loan,168366,,2024-01-31,24
LN20039,CUST10039,Personal Loan,107451,,2024-08-04,48
LN20040,CUST10040,Credit Card,147215,,2024-01-14,12
LN20041,CUST10041,Credit Card,113480,9456.67,2023-08-22,12
LN20042,CUST10042,Consumer Durable,19045,1058.06,2023-08-15,18
LN20043,CUST10043,Consumer Durable,69070,3837.22,2023-10-22,18
LN20044,CUST10044,Consumer Durable,55323,4610.25,2023-09-21,12
LN20045,CUST10045,Credit Card,56325,4693.75,2023-10-08,12
LN20046,CUST10046,Personal Loan,474000,39500.0,2023-12-14,12
LN20047,CUST10047,Credit Card,66206,5517.17,2024-01-03,12
LN20048,CUST10048,Credit Card,66033,5502.75,2024-11-07,12
LN20049,CUST10049,Credit Card,95090,7924.17,2023-05-12,12
LN20050,CUST10050,Credit Card,17244,1437.0,2024-04-20,12
LN20051,CUST10051,Consumer Durable,103312,17218.67,2023-11-25,6
LN20052,CUST10052,Personal Loan,410116,8544.08,2023-02-18,48
LN20053,CUST10053,Consumer Durable,165360,9186.67,2023-06-23,18
LN20054,CUST10054,Consumer Durable,77988,4332.67,2023-01-13,18
